Summary,Issue key,Issue id,Issue Type,Status,Project key,Project lead,Project lead id,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Affects versions,Fix versions,Components,Components,Description,Custom field (Development),Custom field (Email enabled),Comment,,Status Category,Status Category Changed
Dates are missing when creating a new Assigment from Lessons,SAK-50338,67865,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Critical,Duplicate,Core Team,6164d8abc7bea400699b1b9e,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,7/30/2024 4:44,8/1/2024 18:32,8/8/2024 1:36,8/1/2024 18:32,25.0 [Tentative],,,,Lessons,,"Dates are missing when creating a new Assigment from Lessons.

See attached image.",{},,,,Done,8/1/2024 18:32
Error in assignments when using gradebook categories,SAK-50337,67864,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Juan Manuel Rubiales de la Cruz,712020:a057ee61-17e0-4cfe-b3eb-a9a893de76f9,7/30/2024 3:11,8/1/2024 18:50,8/8/2024 1:36,,25.0 [Tentative],,,,Assignments,,"The problem occurs when Sakai tries to parse the points (String) to Double type. This problem affects languages that use commas instead of dots on decimals.

The internal logic attempts to compare the points of the task and the points of the category. The problem arises when using commas (commonly used in Spanish) which prevents saving. It appears that it tries to convert the string with commas to a Double, which generates an error that prevents saving the task.",{},,,,To Do,7/30/2024 3:11
LTI should support sending the institutional id as the lis_person_sourcedid,SAK-50336,67863,Feature Request,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Charles R Severance,557058:718cd3f6-5ff9-42fa-8914-b4224aff1730,Earle Nietzel,557058:d4bf1967-6188-4b29-bf4a-95cf874b4a08,7/29/2024 14:30,8/5/2024 11:58,8/8/2024 1:36,,22.6 [Tentative],23.3 [Tentative],25.0 [Tentative],,LTI,,"Other tools support using the institutional id (via CandidateDetailProvider) typically during exports which are then later used for things like grade entry into an SIS.

It is also possible that during LTI exchanges that the institutional id would make sense to be transmitted, a likely parameter for ""lis_person_sourcedid"".","{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-07T11:46:31.000-0400"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"29/Jul/24 3:11 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50336 LTI send institutional id as the lis_person_sourcedid"", you can see it at https://github.com/sakaiproject/sakai/pull/12767",,To Do,7/29/2024 14:30
Resources: Link migration not working for URL content,SAK-50335,67862,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,Fixed,Vicent Alfonso,6164ecec2f6aed0068073f85,Vicent Alfonso,6164ecec2f6aed0068073f85,7/29/2024 6:06,7/30/2024 9:57,8/8/2024 1:36,7/30/2024 9:57,22.6 [Tentative],23.3 [Tentative],25.0 [Tentative],,Kernel,Resources,"On a site which uses the course year as part of its ID, like ‘SAK_12345_2023’
Upload a file to the Resources tool and access to its details to copy the item address (URL)
Then create a new URL item using the previous address

If later you create a new site for the upcoming academic course ('SAK_12345_2024') and import the data from the previous site, the URL content will keep pointing to the previous site.
But instead it should automatically update with the corresponding year (there is an existing method for that in the code).","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-30T09:57:39.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"29/Jul/24 6:43 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50335 Resources: link migration not working for URL content"", you can see it at https://github.com/sakaiproject/sakai/pull/12765",,Done,7/30/2024 9:57
Rubrics: Unable to delete a rubric,SAK-50334,67861,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Christopher Maurer,557058:f183efde-ef00-4827-965a-da4282efb37b,Christopher Maurer,557058:f183efde-ef00-4827-965a-da4282efb37b,7/28/2024 21:52,8/7/2024 16:57,8/8/2024 1:36,8/7/2024 16:57,25.0 [Tentative],,,,Rubrics,,"When attempting to delete a rubric, the screen grays out as if the modal was going to open, but no modal ever opens.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-07T16:57:25.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"28/Jul/24 10:20 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50334 - Rubrics: Make sure that the dom element IDs are unique since this …"", you can see it at https://github.com/sakaiproject/sakai/pull/12763",,Done,8/7/2024 16:57
Assignments-Sakai Grader: console error if on student without submission and selecting to navigate between students with a submission,SAK-50333,67860,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,7/28/2024 20:39,8/1/2024 18:43,8/8/2024 1:36,,23.3 [Tentative],25.0 [Tentative],,,Assignments,WC Sakai Grader,"If the instructor is grading assignments and is on a student without a submission and decides they only want to navigate between students with a submission, the page gets out of sync and there is a console error. 

{noformat}grader.js?version=df3fb799:4 
 Uncaught 
TypeError: Cannot read properties of undefined (reading 'hydrated')
    at Gt._hydrateNext (grader.js?version=df3fb799:4:63614)
    at Gt._next (grader.js?version=df3fb799:783:13850)
    at dt.handleEvent (chunk-3B44UYHW.js:6:6020)
_hydrateNext	@	grader.js?version=df3fb799:4
_next	@	grader.js?version=df3fb799:783
handleEvent	@	chunk-3B44UYHW.js:6{noformat}

!image-20240729-003320.png|width=503,height=225,alt=""image-20240729-003320.png""!",{},,,,To Do,7/28/2024 20:39
Sakai Grader: TypeError: Cannot read properties of null (reading 'focus'),SAK-50332,67859,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,7/28/2024 20:25,8/1/2024 18:45,8/8/2024 1:36,,23.3 [Tentative],25.0 [Tentative],,,WC Sakai Grader,,"Every time the Sakai Grader is closed or saved, there is a console error. 

{noformat}Uncaught (in promise) TypeError: Cannot read properties of null (reading 'focus')
    at SakaiGrader.js:273:47
{noformat}



!image-20240729-002313.png|width=853,height=684,alt=""image-20240729-002313.png""!",{},,,,To Do,7/28/2024 20:25
"Lessons: When you send the grade in Spanish to the gradebook, it arrives without decimal",SAK-50331,67858,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Ana Marí Vilaplana,712020:91f1adf6-554f-4b14-a034-b75efbdbb622,7/26/2024 7:07,7/26/2024 10:44,8/8/2024 1:36,,25.0 [Tentative],,,,Lessons,,"Currently, grades submitted in Spanish to the gradebook are arriving without the corresponding decimal values. ",{},,,,To Do,7/26/2024 7:07
T&Q: Incorrect maximum question limit in random draw from multiple pools,SAK-50330,67857,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Core Team,6164d8abc7bea400699b1b9e,Manu Fuster,712020:9e5e8d0e-877c-493a-885a-db6e40b7c3b4,7/26/2024 6:47,7/29/2024 11:23,8/8/2024 1:36,,25.0 [Tentative],,,,Tests & Quizzes (Samigo),,"When creating an assessment in Test & Quizzes tool, if you choose the ""Random draw from multiple question pools"" option, you can select several question pools and decide how many questions in total to randomly display from these pools. 

At most, you can select the total number of questions across all pools. However, when editing the part again later, the maximum number is calculated as the total number of questions in the first selected pool, not the sum of all pools.",{},,,,To Do,7/26/2024 6:47
"LTI-Assignments: Add push notification when grading, so the SakaiGrader gets updated comments",SAK-50329,67856,Bug,Verified,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Charles R Severance,557058:718cd3f6-5ff9-42fa-8914-b4224aff1730,Charles R Severance,557058:718cd3f6-5ff9-42fa-8914-b4224aff1730,7/25/2024 22:51,7/28/2024 19:52,8/8/2024 1:36,7/26/2024 0:13,,,,,Assignments,,This builds on [https://sakaiproject.atlassian.net/browse/SAK-46953|https://sakaiproject.atlassian.net/browse/SAK-46953|smart-link] and adds comments to push notifications from the LTI tool in the iframe to the off screen SakaiGrader.,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-26T00:13:19.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"25/Jul/24 10:54 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50329 - LTI-Assignments: Add push notification when grading, so the SakaiGrader gets updated comments"", you can see it at https://github.com/sakaiproject/sakai/pull/12758",,Done,7/26/2024 0:13
Reset Pass instructions should be unescaped to allow for HTML,SAK-50328,67855,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,7/25/2024 13:36,7/26/2024 18:19,8/8/2024 1:36,7/26/2024 18:19,23.3 [Tentative],25.0 [Tentative],,,Reset Password & Account Validation,,Admins many want to set a link in their instructions like <a href=”https://xxxxxx”>Go to institutional password reset</a>,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-26T18:19:45.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"25/Jul/24 1:37 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50328 Reset Pass do not escape instructions"", you can see it at https://github.com/sakaiproject/sakai/pull/12757",,Done,7/26/2024 18:19
LTI Assignments cannot be graded unless SakaiGrader is used,SAK-50327,67854,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Charles R Severance,557058:718cd3f6-5ff9-42fa-8914-b4224aff1730,Charles R Severance,557058:718cd3f6-5ff9-42fa-8914-b4224aff1730,7/25/2024 10:08,8/1/2024 17:18,8/8/2024 1:36,7/30/2024 10:19,23.3 [Tentative],25.0 [Tentative],,,Assignments,,"The screen that is shown when you are grading student submissions _without_ using SakaiGrader does not know about the LTI assignment type.

Note that since this appears to me a “compatibility mode” with an old view of the tool, the fix is simply to launch the tool using the resource link launch (i.e. not the submission review launch like in the SakaiGrader.   Also, the grade and comments are not synchronized in the browser.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-30T10:18:46.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"28/Jul/24 8:39 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50327 - Support LTI assignments when not using SakaiGrader"", you can see it at https://github.com/sakaiproject/sakai/pull/12761",,Done,7/30/2024 10:19
Frequent webcomponents build failures during npm install,SAK-50326,67853,Bug,In Progress,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,7/24/2024 17:36,7/24/2024 20:27,8/8/2024 1:36,,25.0 [Tentative],,,,Web Components,,"Since the merging of SAK-50230, I have frequently experienced failed maven builds of webcomponents/tool/pom.xml during the npm install steps. The signature of these failures are random, though upstream warning messages like the following: 

{noformat}npm WARN tar TAR_ENTRY_ERROR EPERM: operation not permitted, {some_pathname_within_webcomponents}{noformat}

Refer to the attached “mvn-wc-build-fail” files for examples of webcomponent build failures.

To make builds more resilient against this issue, the npm cache likely now needs to be cleared before “npm install” runs. Since introducing this step in webcomponents/tool/pom.xml, I’ve not yet experienced another build failure nor the warnings cited above.

The OS I use is Oracle Linux 8.10 (a Red Hat distribution).","{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-25T11:45:41.000-0400"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"24/Jul/24 5:48 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50326 Prevent frequent webcomponents build failures"", you can see it at https://github.com/sakaiproject/sakai/pull/12753",,In Progress,7/24/2024 17:36
Link migration not working for Peer Assignment instructions,SAK-50325,67852,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Vicent Alfonso,6164ecec2f6aed0068073f85,Vicent Alfonso,6164ecec2f6aed0068073f85,7/24/2024 9:15,7/30/2024 10:00,8/8/2024 1:36,7/30/2024 9:59,22.6 [Tentative],23.3 [Tentative],25.0 [Tentative],,Assignments,,"On a site which uses the course year for its ID, like ‘SAK_12345_2023’
Link a resource on the peer assignment instructions.

Resource URL example:
{color:#0747a6}https://trunk-maria.nightly.sakaiproject.org/access/content/group/SAK_12345_2023/image.png{color}

If later you create a new site for the upcoming academic course ('SAK_12345_2024') and import the data from the previous site, the link will keep pointing to the previous site.
But instead the URL should be automatically updated with the corresponding year (there is an existing method for that in the code).","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-30T09:59:38.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"25/Jul/24 3:47 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50325 Assignments: link migration not working for peer assignment instructions"", you can see it at https://github.com/sakaiproject/sakai/pull/12754",,Done,7/30/2024 9:59
LTI: choose custom icon input is too wide,SAK-50324,67851,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Shivangi Kumar,712020:0a24e887-c8a1-4a56-a24b-3ca43878c9ac,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,7/23/2024 19:24,7/29/2024 11:22,8/8/2024 1:36,,23.3 [Tentative],25.0 [Tentative],,,LTI,,"[https://sakaiproject.atlassian.net/browse/SAK-49346|https://sakaiproject.atlassian.net/browse/SAK-49346|smart-link] fixed the text field in the external tools form when the admin fills it out, but it didn’t fix the text field in the pop-up when adding a tool to Lessons or editing it on the navigation.

!image-20240723-232119.png|width=903,height=550,alt=""image-20240723-232119.png""!



!image-20240723-232140.png|width=844,height=435,alt=""image-20240723-232140.png""!",{},,23/Jul/24 8:38 PM;557058:718cd3f6-5ff9-42fa-8914-b4224aff1730;Probably a fix similar to [https://sakaiproject.atlassian.net/browse/SAK-49969|https://sakaiproject.atlassian.net/browse/SAK-49969|smart-link] is the solution.,,To Do,7/23/2024 19:24
Dashboard: Announcement widget blank for any admin account,SAK-50323,67850,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Christina Schwiebert,70121:edd71bdf-212f-4544-92f7-2fc8fb688af3,7/23/2024 9:05,7/26/2024 10:20,8/8/2024 1:36,,23.3 [Tentative],25.0 [Tentative],,,WC User Dashboard,,"The announcements widget on the user dashboard is always blank for any user who is a member of the administrative workspace.  This was likely due to it originally pulling from all sites that the user has access to, which for the admin is all of them. Now that the widgets should only be pulling from pinned sites, an admin user should also have a working Announcements widget. ",{},,,,To Do,7/23/2024 9:05
Test & Quizzes: Unique names are not checked when creating global variables manually,SAK-50322,67849,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,Manu Fuster,712020:9e5e8d0e-877c-493a-885a-db6e40b7c3b4,7/23/2024 7:37,7/29/2024 11:20,8/8/2024 1:36,,25.0 [Tentative],,,,Tests & Quizzes (Samigo),,"In the process of creating a calculated question in the Test & Quizzes tool, when ""Extract Variables, Global Variables, Calculations, and Formulas from Question Text"" is clicked, it ensures that a global variable, a variable, and a formula do not share the same name. However, when creating a global variable manually, this check does not occur. As a result, errors occur due to name duplication.",{},,,,To Do,7/23/2024 7:37
T&Q: Calculated question rounding error for answer key,SAK-50321,67848,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,7/22/2024 19:24,8/7/2024 16:57,8/8/2024 1:36,8/7/2024 16:57,20.6,21.6 [Tentative],22.6 [Tentative],,Tests & Quizzes (Samigo),,"The Answer key can display an incorrect value due to a rounding error for an edge case like the following.

For example, suppose a very precise and correct answer for a formula is “2.6454798891706”. Now suppose the formula is configured to display 3 decimal places for the correct answer. The answer key currently presents the correct answer with a rounding error.

* Currently: The answer key displays as 2.646.
* Expected: The answer key should display as 2.645.

This rounding error happens because SamigoExpressionParser.parse returns the string “2.6455” as the answer, which is rounded again downstream (by some client code) to 2.646. These kinds of rounding errors could be prevented by modifying the parse method to return a string with an extra decimal place of precision (e.g., “2.6548” would be rounded to the expected “2.645”).

For what it’s worth, I encountered this problem by testing the following trigonometry example from the T&Q help document, How do I create a calculated question? 

Solve: COS({a}) * ({c} - {b}) = {{z}}

A student’s case arose where variable values resulted in:

COS(4.087) * (3.652 - 8.171)

Using a [+scientific calculator+|https://www.desmos.com/scientific] --with angles set to radians (instead of degrees)-- I discovered that a precise answer like 2.6454798891706 would be presented in the answer key as 2.646 instead of 2.645 (with the default setting of 3 decimal places).","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-07T16:57:49.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"22/Jul/24 8:03 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50321 T&Q: Calculated question rounding error for answer key"", you can see it at https://github.com/sakaiproject/sakai/pull/12750",,Done,8/7/2024 16:57
LTI-Assignments: console error when opening grading page for a group assignment: TypeError: Invalid protocol,SAK-50320,67847,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Duplicate,Charles R Severance,557058:718cd3f6-5ff9-42fa-8914-b4224aff1730,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,7/22/2024 18:24,7/23/2024 17:38,8/8/2024 1:36,7/23/2024 17:38,25.0 [Tentative],,,,Assignments,LTI,"I created an assignment for a group submission. One student per group submitted and then the instructor attempted to grade.

See the assignments_LTI13 video starting at 8:13. I did not see any server errors, only the console error:

{noformat}classApi.js:36 
 Uncaught 
TypeError: Invalid protocol
    at classApi.js:36:13
    at F (classApi.js:142:43)
    at Temporal.Instant.toZonedDateTimeISO (classApi.js:437:42)
    at Temporal.Instant.toZonedDateTimeISO (classApi.js:10:16)
    at set epochMillis (SakaiDatePicker.js:47:37)
    at n.set [as epochMillis] (reactive-element.ts:756:14)
    at n._$AK (reactive-element.ts:1218:12)
    at n.attributeChangedCallback (reactive-element.ts:1148:10)
    at v.j (lit-html.ts:1910:39)
    at v._$AI (lit-html.ts:1883:12)
{noformat}

!image-20240722-221920.png|width=351,height=151,alt=""image-20240722-221920.png""!

This is also affecting 1.1 group assignments. See the video.",{},,23/Jul/24 5:38 PM;557058:093e0ced-45f4-4932-853a-c54031e22f52;Duplicate of SAK-50306,,Done,7/23/2024 17:38
Dashboard tool should be more explicit about flex layout,SAK-50319,67846,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,7/22/2024 13:18,7/30/2024 12:51,8/8/2024 1:36,7/23/2024 10:24,,,,,Dashboard,,[https://sakaiproject.atlassian.net/browse/SAK-49917|https://sakaiproject.atlassian.net/browse/SAK-49917|smart-link] removed several important flex options to improve the mobile display. I believe removing them was a mistake.,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-23T10:24:45.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"22/Jul/24 1:20 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50319 Dashboard image and text need explicit flex options"", you can see it at https://github.com/sakaiproject/sakai/pull/12749",,Done,7/23/2024 10:24
Assignments: Date Picker doesn't include time on Firefox,SAK-50318,67845,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Non-Issue,,,Christina Schwiebert,70121:edd71bdf-212f-4544-92f7-2fc8fb688af3,7/22/2024 11:48,7/26/2024 10:32,8/8/2024 1:36,7/26/2024 10:32,23.3 [Tentative],25.0 [Tentative],,,WC Sakai Date Picker,,When using Firefox. the new date picker in Assignments is not correct. It does not include the time or the Today link. ,{},,22/Jul/24 12:03 PM;6164fa61bfa2c1006b190f6e;[https://bugzilla.mozilla.org/show_bug.cgi?id=1726108|https://bugzilla.mozilla.org/show_bug.cgi?id=1726108|smart-link] ,,Done,7/26/2024 10:32
Dashboard: Discussions widget not removing sites if user is no longer a member,SAK-50317,67844,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Christina Schwiebert,70121:edd71bdf-212f-4544-92f7-2fc8fb688af3,7/22/2024 8:32,7/26/2024 10:33,8/8/2024 1:36,,23.3 [Tentative],,,,WC Forums Widget,WC User Dashboard,"This is not a problem on Trunk, but is affecting 23.x

If a user is removed from a site, the discussions widget is not removing the site if there unread discussion posts or messages from before the user was removed.",{},,26/Jul/24 10:33 AM;70121:edd71bdf-212f-4544-92f7-2fc8fb688af3;If the linked issue is merged into 23.x it should take care of this problem. ,,To Do,7/22/2024 8:32
LTI description is out of date in /direct,SAK-50316,67843,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Charles R Severance,557058:718cd3f6-5ff9-42fa-8914-b4224aff1730,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,7/21/2024 10:08,7/28/2024 9:58,8/8/2024 1:36,7/21/2024 23:26,22.6 [Tentative],23.3 [Tentative],25.0 [Tentative],,LTI,,"Discovered while testing [https://sakaiproject.atlassian.net/browse/SAK-23981|https://sakaiproject.atlassian.net/browse/SAK-23981|smart-link] The LTI description still refers to 2.x, which has been deprecated. 

!image-20240721-140543.png|width=967,height=78,alt=""image-20240721-140543.png""!

[https://ed.link/community/lti-a-history/|https://ed.link/community/lti-a-history/|smart-link] 

Note that [https://sakaiproject.atlassian.net/browse/SAK-23981|https://sakaiproject.atlassian.net/browse/SAK-23981|smart-link] needs to be back merged before this JIRA.  After that is merged, this should be easy to back merge as far back as you like. – Chuck","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-07-21T23:26:39.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"21/Jul/24 10:45 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50316 LTI fix description in /direct"", you can see it at https://github.com/sakaiproject/sakai/pull/12748",,Done,7/21/2024 23:26
